codigo;descripcion;tipo;unidad_medida;costo_unitario_usd;fecha_costo;familia;origen
MP-OXFORD;OXFORD;mp;u;0;15-sep-2026;OXFORD;odoo_cate.xlsx_MP-IN
MP-PIQUE;PIQUE;mp;u;0;15-sep-2026;PIQUE;odoo_cate.xlsx_MP-IN
MP-PIQUEDOBLE;PIQUE DOBLE;mp;u;0;15-sep-2026;PIQUE DOBLE;odoo_cate.xlsx_MP-IN
MP-PIQUEFANTASI;PIQUE FANTASIA;mp;u;0;15-sep-2026;PIQUE FANTASIA;odoo_cate.xlsx_MP-IN
MP-PIQUELYCRA;PIQUE LYCRA;mp;u;0;15-sep-2026;PIQUE LYCRA;odoo_cate.xlsx_MP-IN
MP-PLANA;PLANA;mp;u;0;15-sep-2026;PLANA;odoo_cate.xlsx_MP-IN
MP-PLANAIMPORTA;PLANA IMPORTACION;mp;u;0;15-sep-2026;PLANA IMPORTACION;odoo_cate.xlsx_MP-IN
MP-PUOSTEJIDOS;PUÑOS TEJIDOS;mp;u;0;15-sep-2026;PUÑOS TEJIDOS;odoo_cate.xlsx_MP-IN
MP-PUOSTEJIDOSC;PUÑOS TEJIDOS COMBINADOS;mp;u;0;15-sep-2026;PUÑOS TEJIDOS COMBINADOS;odoo_cate.xlsx_MP-IN
IN-QUICKSTRETCH;QUICK STRETCH;ins;u;0;15-sep-2026;QUICK STRETCH;odoo_cate.xlsx_MP-IN
IN-REATA;REATA;ins;u;0;15-sep-2026;REATA;odoo_cate.xlsx_MP-IN
IN-REMACHESMETA;REMACHES METALICO;ins;u;0;15-sep-2026;REMACHES METALICO;odoo_cate.xlsx_MP-IN
MP-RIBB241;RIBB 24/1;mp;u;0;15-sep-2026;RIBB 24/1;odoo_cate.xlsx_MP-IN
MP-RIBB2X2ARCOI;RIBB 2X2 ARCOIRIS;mp;u;0;15-sep-2026;RIBB 2X2 ARCOIRIS;odoo_cate.xlsx_MP-IN
MP-RIBB2X2GRUES;RIBB 2X2 GRUESO;mp;u;0;15-sep-2026;RIBB 2X2 GRUESO;odoo_cate.xlsx_MP-IN
MP-RIBB2X2LIVIA;RIBB 2X2 LIVIANO;mp;u;0;15-sep-2026;RIBB 2X2 LIVIANO;odoo_cate.xlsx_MP-IN
MP-RIBB6X6;RIBB 6X6;mp;u;0;15-sep-2026;RIBB 6X6;odoo_cate.xlsx_MP-IN
MP-RIBBALGODON;RIBB ALGODON;mp;u;0;15-sep-2026;RIBB ALGODON;odoo_cate.xlsx_MP-IN
MP-RIBBRAYADO;RIBB RAYADO;mp;u;0;15-sep-2026;RIBB RAYADO;odoo_cate.xlsx_MP-IN
IN-SATIN;SATIN;ins;u;0;15-sep-2026;SATIN;odoo_cate.xlsx_MP-IN
MP-SOFTWAFFLETE;SOFTWAFFLE TEJIDO;mp;u;0;15-sep-2026;SOFTWAFFLE TEJIDO;odoo_cate.xlsx_MP-IN
MP-TELAIMPORTAD;TELA IMPORTADA TINTURADA;mp;u;0;15-sep-2026;TELA IMPORTADA TINTURADA;odoo_cate.xlsx_MP-IN
SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;0;15-sep-2026;TINTURADO INDUSTRIAL;odoo_cate.xlsx_MP-IN
IN-FRAMILON;FRAMILON;ins;u;0;15-sep-2026;FRAMILON;odoo_cate.xlsx_MP-IN
